geo,date,term_flu,topic_influenza
United States,2021-12-26,43,48
United States,2022-01-02,44,48
United States,2022-01-09,31,35
United States,2022-01-16,20,22
United States,2022-01-23,15,19
United States,2022-01-30,14,15
United States,2022-02-06,13,14
United States,2022-02-13,14,14
United States,2022-02-20,14,15
United States,2022-02-27,13,14
United States,2022-03-06,14,14
United States,2022-03-13,16,16
United States,2022-03-20,15,17
United States,2022-03-27,16,17
United States,2022-04-03,18,20
United States,2022-04-10,17,19
United States,2022-04-17,18,20
United States,2022-04-24,18,20
United States,2022-05-01,16,19
United States,2022-05-08,17,18
United States,2022-05-15,15,16
United States,2022-05-22,13,15
United States,2022-05-29,13,13
United States,2022-06-05,11,12
United States,2022-06-12,10,11
United States,2022-06-19,10,11
United States,2022-06-26,9,10
United States,2022-07-03,12,13
United States,2022-07-10,8,9
United States,2022-07-17,8,9
United States,2022-07-24,8,9
United States,2022-07-31,8,9
United States,2022-08-07,8,9
United States,2022-08-14,9,10
United States,2022-08-21,12,13
United States,2022-08-28,12,14
United States,2022-09-04,16,18
United States,2022-09-11,20,22
United States,2022-09-18,24,26
United States,2022-09-25,27,29
United States,2022-10-02,32,34
United States,2022-10-09,38,40
United States,2022-10-16,40,43
United States,2022-10-23,51,55
United States,2022-10-30,52,55
United States,2022-11-06,49,52
United States,2022-11-13,49,57
United States,2022-11-20,56,64
United States,2022-11-27,57,66
United States,2022-12-04,59,68
United States,2022-12-11,55,62
United States,2022-12-18,50,56
United States,2022-12-25,41,46
United States,2023-01-01,28,31
United States,2023-01-08,22,24
United States,2023-01-15,20,21
United States,2023-01-22,17,19
United States,2023-01-29,16,18
United States,2023-02-05,17,18
United States,2023-02-12,16,16
United States,2023-02-19,16,16
United States,2023-02-26,15,15
United States,2023-03-05,14,16
United States,2023-03-12,13,15
United States,2023-03-19,13,15
United States,2023-03-26,12,14
United States,2023-04-02,10,12
United States,2023-04-09,11,12
United States,2023-04-16,10,11
United States,2023-04-23,9,11
United States,2023-04-30,10,11
United States,2023-05-07,9,11
United States,2023-05-14,9,11
United States,2023-05-21,8,10
United States,2023-05-28,8,9
United States,2023-06-04,7,9
United States,2023-06-11,7,8
United States,2023-06-18,7,8
United States,2023-06-25,7,8
United States,2023-07-02,6,7
United States,2023-07-09,6,7
United States,2023-07-16,6,7
United States,2023-07-23,6,7
United States,2023-07-30,7,8
United States,2023-08-06,8,8
United States,2023-08-13,9,10
United States,2023-08-20,11,12
United States,2023-08-27,13,15
United States,2023-09-03,16,18
United States,2023-09-10,20,22
United States,2023-09-17,24,27
United States,2023-09-24,26,29
United States,2023-10-01,27,30
United States,2023-10-08,27,31
United States,2023-10-15,28,31
United States,2023-10-22,25,30
United States,2023-10-29,26,29
United States,2023-11-05,25,29
United States,2023-11-12,25,29
United States,2023-11-19,22,25
United States,2023-11-26,26,31
United States,2023-12-03,28,32
United States,2023-12-10,34,38
United States,2023-12-17,45,49
United States,2023-12-24,46,53
United States,2023-12-31,39,43
United States,2024-01-07,31,35
United States,2024-01-14,27,29
United States,2024-01-21,27,30
United States,2024-01-28,27,31
United States,2024-02-04,26,31
United States,2024-02-11,25,29
United States,2024-02-18,25,30
United States,2024-02-25,23,28
United States,2024-03-03,21,23
United States,2024-03-10,17,21
United States,2024-03-17,16,19
United States,2024-03-24,15,19
United States,2024-03-31,20,23
United States,2024-04-07,15,17
United States,2024-04-14,13,15
United States,2024-04-21,15,17
United States,2024-04-28,14,16
United States,2024-05-05,12,13
United States,2024-05-12,11,12
United States,2024-05-19,11,12
United States,2024-05-26,10,11
United States,2024-06-02,11,15
United States,2024-06-09,10,11
United States,2024-06-16,10,10
United States,2024-06-23,9,10
United States,2024-06-30,8,9
United States,2024-07-07,8,9
United States,2024-07-14,9,10
United States,2024-07-21,8,9
United States,2024-07-28,9,9
United States,2024-08-04,9,9
United States,2024-08-11,10,11
United States,2024-08-18,12,13
United States,2024-08-25,14,15
United States,2024-09-01,16,18
United States,2024-09-08,19,22
United States,2024-09-15,21,22
United States,2024-09-22,23,25
United States,2024-09-29,24,27
United States,2024-10-06,23,26
United States,2024-10-13,24,25
United States,2024-10-20,23,26
United States,2024-10-27,23,23
United States,2024-11-03,20,22
United States,2024-11-10,23,25
United States,2024-11-17,23,25
United States,2024-11-24,21,22
United States,2024-12-01,23,26
United States,2024-12-08,26,27
United States,2024-12-15,45,48
United States,2024-12-22,53,57
United States,2024-12-29,61,65
United States,2025-01-05,52,56
