date,dengue_en,dengue_es,dengue_pt
2016-01-01,238454,190353,21602
2016-02-01,219149,277227,122242
2016-03-01,144320,640302,192767
2016-04-01,120763,204159,101264
2016-05-01,120187,122937,35739
2016-06-01,138715,89602,22642
2016-07-01,167351,63728,10333
2016-08-01,232735,74850,13417
2016-09-01,292823,80665,13509
2016-10-01,219234,81855,12011
2016-11-01,164436,86655,13812
2016-12-01,111862,37154,6321
2017-01-01,113870,40143,6449
2017-02-01,96095,47366,13023
2017-03-01,108386,72145,23977
2017-04-01,99846,98886,21783
2017-05-01,127286,91391,18337
2017-06-01,150379,62646,11534
2017-07-01,209633,42524,6650
2017-08-01,214002,52898,9262
2017-09-01,201421,59077,10716
2017-10-01,288486,65996,10408
2017-11-01,207560,68440,12354
2017-12-01,122882,27016,5083
2018-01-01,126948,32637,7974
2018-02-01,108219,41525,18351
2018-03-01,103467,74898,23022
2018-04-01,96664,67806,17820
2018-05-01,105451,65899,16336
2018-06-01,114762,51227,10782
2018-07-01,145059,43820,6599
2018-08-01,164488,52215,8281
2018-09-01,161702,49728,7679
2018-10-01,203159,105264,8835
2018-11-01,144038,39319,12866
2018-12-01,98593,16823,5736
2019-01-01,112515,17487,6243
2019-02-01,84859,18172,16182
2019-03-01,91605,24105,17046
2019-04-01,89393,25212,17024
2019-05-01,95500,28892,16972
2019-06-01,109814,24616,13560
2019-07-01,182812,27292,7219
2019-08-01,229803,35349,9347
2019-09-01,248995,44637,7659
2019-10-01,246057,49053,7709
2019-11-01,198141,38914,10389
2019-12-01,115197,16608,6059
2020-01-01,116504,28200,8189
2020-02-01,127528,50417,16918
2020-03-01,201207,228578,41254
2020-04-01,121583,119395,23408
2020-05-01,97028,57420,16638
2020-06-01,81888,32416,12276
2020-07-01,97035,21868,8334
2020-08-01,79021,20326,5389
2020-09-01,73594,21417,5397
2020-10-01,82998,24012,5151
2020-11-01,74855,21937,5717
2020-12-01,59919,13803,5181
2021-01-01,60904,15086,5199
2021-02-01,58222,14494,5531
2021-03-01,58709,19623,8847
2021-04-01,54878,18492,8094
2021-05-01,56155,17876,11646
2021-06-01,65781,14370,7059
2021-07-01,60675,10442,4718
2021-08-01,72591,10996,4867
2021-09-01,87424,10667,5032
2021-10-01,105475,10796,3936
2021-11-01,87316,11010,3475
2021-12-01,61867,10277,2812
2022-01-01,56596,11208,3512
2022-02-01,45978,8419,3415
2022-03-01,48818,8725,5903
2022-04-01,47875,8598,8295
2022-05-01,55160,15099,9541
2022-06-01,60129,12040,6693
2022-07-01,71288,12903,3858
2022-08-01,80482,14196,3858
2022-09-01,107531,15181,3574
2022-10-01,102175,13521,2959
2022-11-01,89766,12738,2823
2022-12-01,53967,8020,2308
2023-01-01,48140,8923,2867
2023-02-01,49253,12445,3584
2023-03-01,55679,24495,7439
2023-04-01,52318,35605,7117
2023-05-01,54398,26488,5882
2023-06-01,70048,21565,3893
2023-07-01,94414,14194,2650
2023-08-01,127859,15831,2405
2023-09-01,145559,20086,2634
2023-10-01,166350,19411,2768
2023-11-01,101116,16989,2755
2023-12-01,81645,12708,2801
2024-01-01,77534,16583,6645
2024-02-01,91781,25041,26504
2024-03-01,121920,67570,26547
2024-04-01,107374,79124,18992
2024-05-01,91715,29654,9988
2024-06-01,125571,21156,4343
2024-07-01,168659,20414,36405
2024-08-01,100757,21540,3822
2024-09-01,89569,24080,2528
2024-10-01,84907,24221,2886
2024-11-01,71938,16546,2770
2024-12-01,55205,8440,1859
2025-01-01,51549,9077,2573
2025-02-01,48276,9735,4167
2025-03-01,59444,13341,5126
2025-04-01,54134,13935,5480
2025-05-01,58498,12249,4996
2025-06-01,60849,11862,3434
2025-07-01,56598,7061,1946
2025-08-01,74438,10508,2474
2025-09-01,65370,9714,3010
2025-10-01,61894,10687,2601
2025-11-01,50965,7285,2121
2025-12-01,1508,217,90
