handle,display_name
epidemiology.bsky.social,Epidemiology!
jclinepi.bsky.social,Journal of Clinical Epidemiology
amjepi.bsky.social,American Journal of Epidemiology
harvardepi.bsky.social,Harvard Epidemiology
imsepidemiology.bsky.social,"IMS Epidemiology, University of Cambridge"
ises-epi.bsky.social,International Social Epidemiology Society
mirandapharmdmph.bsky.social,Miranda So PharmD MPH (Epidemiology)
sheaepi.bsky.social,Society for Healthcare Epidemiology of America (SHEA)
ichejournal.bsky.social,Infection Control & Hospital Epidemiology
ocbe.bsky.social,Oslo Centre for Biostatistics and Epidemiology
hsph.harvard.edu,Harvard T.H. Chan School of Public Health
publichealth.boston.gov,Boston Public Health Commission
firedbutfighting.bsky.social,Fired but Fighting (National Public Health Coalition)
defendpublichealth.bsky.social,Defend Public Health
yalesph.bsky.social,Yale School of Public Health
idph.bsky.social,IDPH | Illinois Department of Public Health
capublichealth.bsky.social,California Department of Public Health
johnshopkinssph.bsky.social,Johns Hopkins Bloomberg School of Public Health
rsph.bsky.social,Royal Society for Public Health
pandemiccenter.bsky.social,Pandemic Center at Brown University’s School of Public Health
outbreaknewstoday.substack.com.web.brid.gy,Outbreak News Today | Robert Herriman | Substack [Unofficial]
hungryhungryhungry.bsky.social,ＯＵＴＢＲＥＡＫ❗ ||
wmogame.bsky.social,Whisper Mountain Outbreak ➡️ OUT NOW
outbreakjake.bsky.social,
hollywoodoutbreak.bsky.social,Hollywood Outbreak 
outbreaknews.bsky.social,Outbreak News Today
outbreaknewstoday.com,Outbreak News Today
outbreakfile.bsky.social,coach scotts last leg 
outbreakhate.bsky.social,sarissima
outbreak.bsky.social,Attack of the Bobby!
hmpxvt.bsky.social,Infectious Disease Tracker
cidjournal.bsky.social,Clinical Infectious Diseases
infectiousdz.bsky.social,Infectious Diseases
jidjournal.bsky.social,The Journal of Infectious Diseases
ofidjournal.bsky.social,Open Forum Infectious Diseases
sidpharm.bsky.social,Society of Infectious Diseases Pharmacists - SIDP
ciddpsu.bsky.social,Center for Infectious Disease Dynamics at Penn State
thelancetinfdis.bsky.social,The Lancet Infectious Diseases
umn-idim.bsky.social,University of Minnesota Infectious Diseases
mrc-outbreak.bsky.social,MRC Centre for Global Infectious Disease Analysis
amersocvirology.bsky.social,American Society for Virology
utrechtvirology.bsky.social,Utrecht Virology Lab
virologyhouldcroft.bsky.social,Charlotte Houldcroft
molecmachines.bsky.social,Molecular Machines & Structural Virology Group
cansocvirol.bsky.social,Canadian Society for Virology
virologylab.bsky.social,Valery Grdzelishvili
cavgroup.bsky.social,Clinical & Applied Virology group
virologylindsey.bsky.social,
servc.bsky.social,Southeastern Regional Virology Conference
virologyvet.bsky.social,
healthpolicywatch.bsky.social,Health Policy Watch - Global health news reporting
gchalliance.bsky.social,The Global Climate And Health Alliance
globalhealthnow.bsky.social,Global Health NOW
lancetgh.bsky.social,The Lancet Global Health
ghs.bsky.social,Global Health Strategies
taskforce.bsky.social,The Task Force for Global Health
telglobalhealth.bsky.social,Telegraph Global Health Security
globalhealthhub.bsky.social,Global Health Hub
unuglobalhealth.bsky.social,UNU Global Health
mcgillghp.bsky.social,McGill Global Health Programs
