date,handle,keywords,text
2026-07-20,yalesph.bsky.social,outbreak,Dean @meganranney.bsky.social joined CNN yesterday to discuss the current cyclosporiasis outbreak and what it can tell us about the current capacity of our nation's public health system.
2026-07-19,firedbutfighting.bsky.social,outbreak,"Dr Elizabeth about Americans in quarantine due to Ebola outbreak in DRC.  NY Times: ""About a dozen Americans were rerouted to Fort Drum, a military base in New York, after they tried to return to the United States via Canada this week, the official said.""   Source: www.nytimes.co"
2026-07-18,firedbutfighting.bsky.social,outbreak,This is an important read. Americans in quarantine due to Ebola outbreak in DRC. www.nytimes.com/2026/07/17/w...
2026-07-17,hsph.harvard.edu,outbreak,"Cyclosporiasis, a parasitic gastrointestinal illness, is spreading across the U.S., sickening thousands and hospitalizing hundreds. Bill Hanage, professor of epidemiology at Harvard Chan School, shares what’s important to know about the disease and this atypically large outbreak."
2026-07-17,defendpublichealth.bsky.social,outbreak,"By @aetiology.bsky.social: “Such a challenging epidemic requires strong federal leadership, both for rapid response to the outbreak and for timely information so that consumers are educated and can protect themselves. So far, we’ve seen little of that.”"
2026-07-17,pandemiccenter.bsky.social,outbreak,"Center affiliate @craigspencer.bsky.social writes in @theatlantic.com sharing lessons from 10 years of #Ebola outbreaks:    “...this outbreak is also revealing how much the United States, once the backbone of the response to crises like this one, seems willing to forget.”"
2026-07-16,publichealth.boston.gov,covid;flu;rsv,"Wastewater data for July 14 is now available:   • Citywide COVID-19 level: Very Low   • Citywide flu level: Not Detected  • Citywide RSV level: Not Detected   Find data about your neighborhood, reports, and more at boston.gov/wastewater."
2026-07-16,firedbutfighting.bsky.social,measles,"🚨Measles still spreading in U.S.🚨  The highest incidence of measles in more than 20 years. It’s a reminder of how rapidly measles can resurge when vaccine coverage slips. Vaccination is best way to prevent measles. As of July 10, 2026 there have been 2,231 measles cases in 41 sta"
2026-07-16,defendpublichealth.bsky.social,outbreak,"“As cases of Cyclospora-related diarrhea explode, the focus has been on identifying a particular food or ingredient that might be the source of the outbreak. But that narrow focus is short-sighted,missing that there are deeper factors that jeopardize us all.” Insights from @drjud"
2026-07-16,pandemiccenter.bsky.social,outbreak,"In Rhode Island, no one is hoping for an infectious disease outbreak. But if one comes, a group of @brown.edu public health students stands ready to help."
2026-07-15,firedbutfighting.bsky.social,malaria,"Dr Schwartz thinks CDC should go back to its OG mission. Would that be malaria prevention? Or is that infectious disease?  She stated ""too much mission creep."" What is creep? Nutrition, physical activity? Decreasing heart disease & stroke? Promoting effective cancer treatments? W"
2026-07-15,defendpublichealth.bsky.social,flu;outbreak,She also can't answer yes or no to whether she would stop giving the flu vaccine to children during a flu outbreak  if the secretary asked her- disappointing
2026-07-15,defendpublichealth.bsky.social,covid,Sen Baldwin goes right in to ask if mRNA (including COVID) vaccines are safe and effective- Kaufman and Dr. Schwartz both state they are safe and effective technologies.
2026-07-15,defendpublichealth.bsky.social,covid,"During COVID, she oversaw the scaling of testing through drive-through locations across the US."
2026-07-15,defendpublichealth.bsky.social,measles,"Sanders recaps how we ended up here, and that is because Dr. Susan Monarez was removed for not complying with RFK Jr.'s wishes concerning evidence-based information on vaccines. And what has resulted: measles, Ebola, food-borne outbreaks. We need a leader for the CDC STAT"
2026-07-15,defendpublichealth.bsky.social,covid,"Cassidy is addressing the breakdown of trust in public health & points to COVID as the culprit. This trust has not rebounded & continues to cast doubts on vaccines & their safety.  He states  vaccines are safe, effective, & don't cause autism. If candidates don't support vaccines"
2026-07-14,yalesph.bsky.social,outbreak,"UPDATE AS OF JULY 13: While the investigation is ongoing, Michigan has reported that current results point to lettuce or salad greens as a potential source for this outbreak, although other food items cannot be completely ruled out.   8/"
2026-07-13,pandemiccenter.bsky.social,measles,"From #Ebola and #Measles to #Cyclosporiasis, infectious disease threats are constantly evolving. Staying informed is one of the best defenses!  Subscribe to the Pandemic Center’s Tracking Report newsletter to get expert insights delivered straight to your inbox. 📨 mailchi.mp/brow"
2026-07-11,firedbutfighting.bsky.social,outbreak,🦟 Mosquitoes🦟 & West Nile virus in headlines. West Nile virus detected in mosquito populations in several states. This is public health in action. What to know: • WNV in U.S. for 25 plus years. • Finding WNV in mosquitoes doesn't mean an outbreak.  • Most people infected don't de
2026-07-10,publichealth.boston.gov,covid;flu;rsv,"Wastewater data for July 8 is now available:   • Citywide COVID-19 level: Very Low   • Citywide flu level: Not Detected  • Citywide RSV level: Low   Find data about your neighborhood, reports, and more at boston.gov/wastewater."
2026-07-10,pandemiccenter.bsky.social,measles;mpox;outbreak,🇨🇩 #Ebola deaths in the DRC reach 600 🇲🇬 Madagascar is Africa's largest active #Mpox outbreak 🇺🇸  In the US 2026's #measles cases are the highest since 1991  Stay updated & subscribe to our weekly Tracking Report: mailchi.mp/messages/pan...
2026-07-09,firedbutfighting.bsky.social,measles,Two to-dos: Make sure you and your family are up-to-date on measles vaccination. Save and widely share above images of measles rash on different skin tones.  2/2 🧵
2026-07-09,firedbutfighting.bsky.social,measles,"Can you recognize measles rash on different skin tones? Accurate recognition, combined with high vaccination rates, is essential to preventing measles outbreaks.  Inclusive medical images help everyone recognize illness, reduce disparities in diagnosis, & improve care for all. 1/"
2026-07-08,publichealth.boston.gov,covid;flu;rsv,"Wastewater data for July 6 is now available:   • Citywide COVID-19 level: Very Low   • Citywide flu level: Not Detected  • Citywide RSV level: Low   Find data about your neighborhood, reports, and more at boston.gov/wastewater."
2026-07-08,yalesph.bsky.social,outbreak,"🌱 Cyclosporiasis is often linked to fresh produce. No specific food has been identified yet for this outbreak, but public health professionals are hard at work investigating.   2/"
2026-07-08,pandemiccenter.bsky.social,outbreak,"If you missed it, last week’s webinar on #Ebola, hosted by @wilmotjames.bsky.social, is now posted to YouTube.  He was joined by David Saah and Robert Cohen for a discussion on how earth observation may help with the ongoing outbreak in the DRC and Uganda.  Watch Now: youtu.be/gq"
