date,signal,value,stderr,sample_size
20200901,fb_survey_wcli,0.9831988,0.156453,6838.9231
20200902,fb_survey_wcli,1.0086297,0.1400868,8146.9057
20200903,fb_survey_wcli,1.0271482,0.1415422,8060.911
20200904,fb_survey_wcli,0.9412381,0.1123588,7988.9178
20200905,fb_survey_wcli,0.8989332,0.1102643,7759.9307
20200906,fb_survey_wcli,0.9589219,0.1172498,7542.9247
20200907,fb_survey_wcli,0.8698288,0.101804,7452.9258
20200908,fb_survey_wcli,0.9531786,0.1133979,7243.928
20200909,fb_survey_wcli,0.8747388,0.1110469,6805.9293
20200910,fb_survey_wcli,0.8526311,0.112402,6598.9251
20200911,fb_survey_wcli,0.7915692,0.1105374,6467.9243
20200912,fb_survey_wcli,0.718022,0.1054844,6521.9217
20200913,fb_survey_wcli,0.6834891,0.1026055,6390.9296
20200914,fb_survey_wcli,0.5944706,0.0986577,6120.9363
20200915,fb_survey_wcli,0.571566,0.0941878,5905.938
20200916,fb_survey_wcli,0.5955691,0.0964515,5800.9444
20200917,fb_survey_wcli,0.5141809,0.0930976,5643.9508
20200918,fb_survey_wcli,0.6014356,0.1063432,5502.9439
20200919,fb_survey_wcli,0.7931406,0.1334549,5282.9444
20200920,fb_survey_wcli,0.7340483,0.128757,5174.9368
20200921,fb_survey_wcli,0.8127405,0.1332823,5072.9269
20200922,fb_survey_wcli,0.7737787,0.128884,5023.9212
20200923,fb_survey_wcli,0.6922008,0.124454,4913.927
20200924,fb_survey_wcli,0.7434408,0.1240322,4877.9294
20200925,fb_survey_wcli,0.6362539,0.11144,4861.9372
20200926,fb_survey_wcli,0.4927846,0.0837379,4832.945
20200927,fb_survey_wcli,0.581669,0.0920839,4861.9479
20200928,fb_survey_wcli,0.5805209,0.0966758,4915.9485
20200929,fb_survey_wcli,0.6544514,0.1053878,4922.9539
20200930,fb_survey_wcli,0.74732,0.1191645,4900.9537
20201001,fb_survey_wcli,0.8174022,0.1360216,4906.9543
20201002,fb_survey_wcli,0.825861,0.1372971,4959.9478
20201003,fb_survey_wcli,0.7888943,0.1349896,4945.9527
20201004,fb_survey_wcli,0.7517407,0.1378743,4835.9518
20201005,fb_survey_wcli,0.735597,0.1326313,5060.953
20201006,fb_survey_wcli,0.7746429,0.1399571,5384.9547
20201007,fb_survey_wcli,0.7609601,0.1306387,5816.9446
20201008,fb_survey_wcli,0.805697,0.1289678,6095.9358
20201009,fb_survey_wcli,0.8154609,0.126629,6299.9439
20201010,fb_survey_wcli,0.9156941,0.1364973,6609.9362
20201011,fb_survey_wcli,0.9506776,0.1329264,6837.9394
20201012,fb_survey_wcli,1.0582052,0.1490271,6833.9374
20201013,fb_survey_wcli,1.0436475,0.1589545,6695.9292
20201014,fb_survey_wcli,1.0543819,0.1616434,6492.942
20201015,fb_survey_wcli,0.8842896,0.1479192,6446.9464
20201016,fb_survey_wcli,0.9837074,0.1571287,6313.9496
