home_county_fips,home_county,commuters_to_fulton,share_pct
13121,"Fulton County, GA",234257,27.39
13089,"DeKalb County, GA",119060,13.92
13067,"Cobb County, GA",108147,12.65
13135,"Gwinnett County, GA",86184,10.08
13117,"Forsyth County, GA",37252,4.36
13063,"Clayton County, GA",36714,4.29
13057,"Cherokee County, GA",30456,3.56
13151,"Henry County, GA",24290,2.84
13097,"Douglas County, GA",17160,2.01
13223,"Paulding County, GA",15033,1.76
13077,"Coweta County, GA",13274,1.55
13113,"Fayette County, GA",12794,1.5
13139,"Hall County, GA",7822,0.91
13247,"Rockdale County, GA",7715,0.9
13217,"Newton County, GA",7696,0.9
