gadm_id,gadm_name,home_to_ping_distance_category,distance_category_ping_fraction,ds
MEX.13.37_1,Metztitlán,100+,0.005861303311056985,2026-06-16
MEX.13.37_1,Metztitlán,"[10, 100)",0.03765197660735036,2026-06-16
MEX.13.37_1,Metztitlán,"(0, 10)",0.580260250923621,2026-06-16
MEX.13.37_1,Metztitlán,0,0.3761279604556895,2026-06-16
MEX.21.108_1,Pahuatlán,0,0.41980450916563916,2026-06-16
MEX.21.108_1,Pahuatlán,100+,0.008165479697890353,2026-06-16
MEX.21.108_1,Pahuatlán,"(0, 10)",0.5396782554797439,2026-06-16
MEX.21.108_1,Pahuatlán,"[10, 100)",0.03423843333134745,2026-06-16
MEX.16.89_1,Tepalcatepec,"(0, 10)",0.5835651875432407,2026-06-16
MEX.16.89_1,Tepalcatepec,"[10, 100)",0.01962766906887662,2026-06-16
MEX.16.89_1,Tepalcatepec,0,0.3916853348366018,2026-06-16
MEX.16.89_1,Tepalcatepec,100+,0.004370955645174366,2026-06-16
MEX.11.6_1,Atarjea,100+,0.000368200672798459,2026-06-16
MEX.11.6_1,Atarjea,"[10, 100)",0.04656576658293063,2026-06-16
MEX.11.6_1,Atarjea,"(0, 10)",0.5143750002591413,2026-06-16
MEX.11.6_1,Atarjea,0,0.4377536379743882,2026-06-16
MEX.18.16_1,Santiago Ixcuintla,"[10, 100)",0.055367087732045794,2026-06-16
MEX.18.16_1,Santiago Ixcuintla,100+,0.00891123057169929,2026-06-16
MEX.18.16_1,Santiago Ixcuintla,0,0.40147981580231556,2026-06-16
MEX.18.16_1,Santiago Ixcuintla,"(0, 10)",0.5336954530963397,2026-06-16
MEX.16.87_1,Taretan,"[10, 100)",0.039349662813302135,2026-06-16
MEX.16.87_1,Taretan,100+,0.010172428246618972,2026-06-16
MEX.16.87_1,Taretan,"(0, 10)",0.5445500934330172,2026-06-16
MEX.16.87_1,Taretan,0,0.4055075062248627,2026-06-16
MEX.19.23_1,General Zuazua,0,0.3398919267367122,2026-06-16
MEX.19.23_1,General Zuazua,100+,0.005330885310203663,2026-06-16
MEX.19.23_1,General Zuazua,"(0, 10)",0.535645793836723,2026-06-16
MEX.19.23_1,General Zuazua,"[10, 100)",0.11916018469178735,2026-06-16
MEX.15.110_1,Tultitlán,0,0.3539855911449728,2026-06-16
MEX.15.110_1,Tultitlán,"[10, 100)",0.07732287099073645,2026-06-16
MEX.15.110_1,Tultitlán,"(0, 10)",0.5661293520732661,2026-06-16
MEX.15.110_1,Tultitlán,100+,0.0025476513702743734,2026-06-16
MEX.29.40_1,Xaltocan,"[10, 100)",0.06993048363347353,2026-06-16
MEX.29.40_1,Xaltocan,0,0.34768904024896363,2026-06-16
MEX.29.40_1,Xaltocan,"(0, 10)",0.5774035245302582,2026-06-16
MEX.29.40_1,Xaltocan,100+,0.005015235530404572,2026-06-16
MEX.26.3_1,Álamos,0,0.37945167892549425,2026-06-16
MEX.26.3_1,Álamos,"(0, 10)",0.5556371206384414,2026-06-16
MEX.26.3_1,Álamos,100+,0.00822327132026603,2026-06-16
MEX.26.3_1,Álamos,"[10, 100)",0.057679979602922864,2026-06-16
MEX.21.160_1,Tepatlaxco de Hidalgo,"[10, 100)",0.13636281201716147,2026-06-16
MEX.21.160_1,Tepatlaxco de Hidalgo,"(0, 10)",0.5289769540950543,2026-06-16
MEX.21.160_1,Tepatlaxco de Hidalgo,0,0.33167368597804575,2026-06-16
MEX.21.160_1,Tepatlaxco de Hidalgo,100+,0.0025565738928849716,2026-06-16
MEX.21.126_1,San José Chiapa,"[10, 100)",0.08072625310451649,2026-06-16
MEX.21.126_1,San José Chiapa,100+,0.011779319812351424,2026-06-16
MEX.21.126_1,San José Chiapa,0,0.37406191097820124,2026-06-16
MEX.21.126_1,San José Chiapa,"(0, 10)",0.5325021663078425,2026-06-16
MEX.5.14_1,Cacahoatán,0,0.40184009533154064,2026-06-16
MEX.5.14_1,Cacahoatán,100+,0.002948431987368911,2026-06-16
MEX.5.14_1,Cacahoatán,"[10, 100)",0.07883986152338275,2026-06-16
MEX.5.14_1,Cacahoatán,"(0, 10)",0.5170857845848096,2026-06-16
MEX.24.9_1,Cerritos,100+,0.014554420709021862,2026-06-16
MEX.24.9_1,Cerritos,0,0.3448945831169548,2026-06-16
MEX.24.9_1,Cerritos,"[10, 100)",0.07335911869369915,2026-06-16
MEX.24.9_1,Cerritos,"(0, 10)",0.5676956113116256,2026-06-16
MEX.31.44_1,Kinchil,100+,-0.002858286733903309,2026-06-16
MEX.31.44_1,Kinchil,"[10, 100)",0.12442727263774105,2026-06-16
MEX.31.44_1,Kinchil,0,0.3888429522443405,2026-06-16
MEX.31.44_1,Kinchil,"(0, 10)",0.48442594155530055,2026-06-16
MEX.16.55_1,Maravatío,0,0.3735084560664002,2026-06-16
MEX.16.55_1,Maravatío,"(0, 10)",0.5690868164679245,2026-06-16
MEX.16.55_1,Maravatío,"[10, 100)",0.04621102625148088,2026-06-16
MEX.16.55_1,Maravatío,100+,0.01148436094665707,2026-06-16
MEX.6.36_1,Juárez,0,0.3450472911040225,2026-06-16
MEX.6.36_1,Juárez,100+,0.002949931823908554,2026-06-16
MEX.6.36_1,Juárez,"[10, 100)",0.06252877043653296,2026-06-16
MEX.6.36_1,Juárez,"(0, 10)",0.58947160570427,2026-06-16
MEX.11.42_1,Valle de Santiago,100+,0.002976687079492683,2026-06-16
MEX.11.42_1,Valle de Santiago,"[10, 100)",0.06686276034320797,2026-06-16
MEX.11.42_1,Valle de Santiago,0,0.37982786836685384,2026-06-16
MEX.11.42_1,Valle de Santiago,"(0, 10)",0.5506211599154989,2026-06-16
MEX.21.49_1,Coxcatlán,100+,0.00435322183086389,2026-06-16
MEX.21.49_1,Coxcatlán,0,0.4189232417513226,2026-06-16
MEX.21.49_1,Coxcatlán,"(0, 10)",0.5363102291125776,2026-06-16
MEX.21.49_1,Coxcatlán,"[10, 100)",0.04069197058946776,2026-06-16
MEX.1.2_1,Asientos,0,0.37964204465073376,2026-06-16
MEX.1.2_1,Asientos,"[10, 100)",0.10576952661646538,2026-06-16
MEX.1.2_1,Asientos,"(0, 10)",0.5109890543963964,2026-06-16
MEX.1.2_1,Asientos,100+,0.002932571154052215,2026-06-16
MEX.13.2_1,Acaxochitlán,100+,0.02055530039347036,2026-06-16
MEX.13.2_1,Acaxochitlán,0,0.3693632468955319,2026-06-16
MEX.13.2_1,Acaxochitlán,"[10, 100)",0.058629511929279766,2026-06-16
MEX.13.2_1,Acaxochitlán,"(0, 10)",0.5541495037423507,2026-06-16
MEX.24.5_1,Axtla de Terrazas,"[10, 100)",0.04704009816774174,2026-06-16
MEX.24.5_1,Axtla de Terrazas,100+,0.004872979382409376,2026-06-16
MEX.24.5_1,Axtla de Terrazas,"(0, 10)",0.5578504861169926,2026-06-16
MEX.24.5_1,Axtla de Terrazas,0,0.39024924167449004,2026-06-16
MEX.29.9_1,Contla de Juan Cuamatzi,100+,0.0014374652486703675,2026-06-16
MEX.29.9_1,Contla de Juan Cuamatzi,"(0, 10)",0.5425054441415309,2026-06-16
MEX.29.9_1,Contla de Juan Cuamatzi,0,0.36215086726312606,2026-06-16
MEX.29.9_1,Contla de Juan Cuamatzi,"[10, 100)",0.09529420652727201,2026-06-16
MEX.20.23_1,Dist. Teposcolula,100+,0.01174489636199059,2026-06-16
MEX.20.23_1,Dist. Teposcolula,"[10, 100)",0.06594999601785996,2026-06-16
MEX.20.23_1,Dist. Teposcolula,"(0, 10)",0.5497782581739495,2026-06-16
MEX.20.23_1,Dist. Teposcolula,0,0.3739382192184672,2026-06-16
MEX.16.28_1,Copándaro,"[10, 100)",0.07149131824371739,2026-06-16
MEX.16.28_1,Copándaro,100+,0.0898421226720185,2026-06-16
MEX.16.28_1,Copándaro,0,0.3850404421850564,2026-06-16
