date,temp_c,dewpoint_c,abs_humidity_g_m3
2016-01-01,7.1,-0.9,4.426
2016-01-02,4.7,-4.0,3.549
2016-01-03,5.3,-2.8,3.873
2016-01-04,3.1,-5.1,3.285
2016-01-05,0.3,-9.0,2.458
2016-01-06,1.1,-6.9,2.885
2016-01-07,7.4,1.6,5.298
2016-01-08,9.4,8.5,8.507
2016-01-09,8.5,8.3,8.42
2016-01-10,5.4,0.9,5.075
2016-01-11,-0.3,-9.3,2.407
2016-01-12,2.4,-5.4,3.22
2016-01-13,2.6,-4.8,3.367
2016-01-14,4.8,-0.9,4.463
2016-01-15,6.2,4.1,6.353
2016-01-16,9.2,5.8,7.076
2016-01-17,4.3,-2.4,4.004
2016-01-18,-0.4,-9.9,2.296
2016-01-19,-2.6,-13.3,1.764
2016-01-20,0.6,-4.8,3.391
2016-01-21,5.1,4.1,6.378
2016-01-22,3.9,3.6,6.184
2016-01-23,-1.3,-7.4,2.8
2016-01-24,0.7,-6.0,3.095
2016-01-25,3.5,-1.8,4.197
2016-01-26,8.9,5.3,6.842
2016-01-27,7.2,4.0,6.286
2016-01-28,7.5,1.4,5.221
2016-01-29,6.2,-0.7,4.506
2016-01-30,7.6,2.2,5.526
2016-01-31,11.2,8.1,8.227
2016-02-01,14.1,12.4,10.855
2016-02-02,16.1,13.8,11.813
2016-02-03,15.9,14.0,11.976
2016-02-04,7.8,-1.3,4.288
2016-02-05,3.1,-8.2,2.59
2016-02-06,3.0,-5.0,3.311
2016-02-07,4.1,-4.4,3.451
2016-02-08,4.7,-3.3,3.739
2016-02-09,0.5,-8.5,2.554
2016-02-10,-1.5,-12.8,1.829
2016-02-11,2.4,-6.1,3.053
2016-02-12,5.9,-0.8,4.478
2016-02-13,1.3,-9.5,2.355
2016-02-14,1.2,-8.7,2.508
2016-02-15,5.7,3.2,5.973
2016-02-16,9.3,5.2,6.785
2016-02-17,6.5,2.2,5.548
2016-02-18,5.8,0.6,4.959
2016-02-19,8.7,2.9,5.786
2016-02-20,12.2,9.3,8.891
2016-02-21,14.1,12.2,10.713
2016-02-22,13.9,13.5,11.673
2016-02-23,13.5,13.1,11.388
2016-02-24,11.6,7.6,7.94
2016-02-25,5.9,-2.5,3.951
2016-02-26,4.4,-3.5,3.688
2016-02-27,5.6,-1.9,4.135
2016-02-28,8.6,1.5,5.238
2016-02-29,12.9,6.9,7.535
2016-03-01,14.5,10.7,9.687
2016-03-02,7.7,0.3,4.82
2016-03-03,5.2,0.8,5.042
2016-03-04,6.8,3.0,5.866
2016-03-05,7.4,1.9,5.413
2016-03-06,9.5,3.0,5.81
2016-03-07,10.6,5.0,6.661
2016-03-08,13.2,8.9,8.625
2016-03-09,15.6,10.8,9.715
2016-03-10,17.6,12.8,11.01
2016-03-11,19.7,15.5,13.021
2016-03-12,19.3,15.0,12.627
2016-03-13,18.5,14.5,12.259
2016-03-14,17.0,13.3,11.399
2016-03-15,18.5,12.4,10.691
2016-03-16,19.2,11.4,9.985
2016-03-17,15.4,5.6,6.829
2016-03-18,15.4,6.9,7.469
2016-03-19,15.6,12.4,10.799
2016-03-20,9.3,0.5,4.862
2016-03-21,6.5,-2.0,4.091
2016-03-22,9.4,1.1,5.075
2016-03-23,12.7,6.5,7.335
2016-03-24,15.7,11.2,9.973
2016-03-25,16.3,12.2,10.632
2016-03-26,14.3,12.9,11.209
2016-03-27,16.6,16.1,13.676
2016-03-28,16.3,11.0,9.821
2016-03-29,12.8,4.9,6.563
2016-03-30,14.3,6.1,7.096
2016-03-31,17.0,15.3,12.975
2016-04-01,18.6,17.4,14.751
2016-04-02,13.3,4.9,6.552
2016-04-03,11.9,1.1,5.031
2016-04-04,14.0,6.0,7.055
2016-04-05,13.0,3.3,5.862
2016-04-06,11.9,4.9,6.584
2016-04-07,14.1,7.4,7.765
2016-04-08,12.0,2.2,5.441
2016-04-09,9.9,-2.9,3.782
2016-04-10,8.9,-0.8,4.43
2016-04-11,14.2,9.6,9.01
2016-04-12,16.2,13.0,11.209
2016-04-13,13.5,9.8,9.154
2016-04-14,14.3,9.5,8.946
2016-04-15,13.8,4.7,6.45
2016-04-16,15.2,6.3,7.172
2016-04-17,14.8,4.3,6.25
2016-04-18,16.2,6.7,7.347
2016-04-19,17.8,8.7,8.374
2016-04-20,19.6,9.6,8.843
2016-04-21,18.2,9.9,9.066
2016-04-22,17.3,16.1,13.643
2016-04-23,17.7,11.5,10.103
2016-04-24,18.3,10.6,9.497
2016-04-25,19.7,12.7,10.859
2016-04-26,20.7,14.4,12.089
2016-04-27,21.7,14.5,12.126
2016-04-28,21.9,17.5,14.679
2016-04-29,22.7,12.3,10.471
2016-04-30,23.0,14.0,11.688
2016-05-01,22.1,17.8,14.949
2016-05-02,22.4,17.0,14.197
2016-05-03,20.0,14.9,12.516
2016-05-04,17.0,6.1,7.03
2016-05-05,13.1,4.6,6.421
2016-05-06,14.3,3.4,5.877
2016-05-07,18.0,7.2,7.556
2016-05-08,22.4,9.0,8.413
2016-05-09,21.4,9.8,8.908
2016-05-10,22.3,13.6,11.415
2016-05-11,23.3,16.8,13.976
2016-05-12,23.2,16.8,13.981
2016-05-13,21.6,13.0,11.003
2016-05-14,20.1,8.1,7.977
2016-05-15,16.0,0.6,4.784
2016-05-16,18.0,4.2,6.138
2016-05-17,18.8,15.5,13.061
2016-05-18,20.9,16.7,14.001
2016-05-19,19.7,17.3,14.603
2016-05-20,17.0,16.2,13.744
2016-05-21,20.0,16.6,13.955
2016-05-22,18.7,10.4,9.359
2016-05-23,19.5,9.5,8.787
2016-05-24,20.7,11.4,9.934
2016-05-25,22.9,12.5,10.602
2016-05-26,24.1,16.1,13.331
2016-05-27,23.9,15.3,12.673
2016-05-28,24.1,12.7,10.699
2016-05-29,24.4,15.6,12.898
2016-05-30,24.9,15.5,12.794
2016-05-31,25.3,15.8,13.025
2016-06-01,25.4,18.3,15.256
2016-06-02,25.7,18.2,15.145
2016-06-03,26.5,17.3,14.272
2016-06-04,26.8,17.1,14.078
2016-06-05,23.2,19.8,16.878
2016-06-06,22.9,20.3,17.426
2016-06-07,24.7,16.7,13.822
2016-06-08,23.1,9.9,8.917
2016-06-09,23.2,11.1,9.656
2016-06-10,26.3,12.8,10.69
2016-06-11,27.9,15.4,12.586
2016-06-12,28.7,18.6,15.376
2016-06-13,29.6,17.6,14.396
2016-06-14,28.0,20.8,17.668
2016-06-15,25.5,21.8,18.943
2016-06-16,26.9,20.2,17.088
2016-06-17,27.3,20.1,16.96
2016-06-18,24.7,16.7,13.822
2016-06-19,24.5,11.9,10.137
2016-06-20,24.0,12.6,10.632
2016-06-21,26.3,14.1,11.635
2016-06-22,27.9,16.4,13.417
2016-06-23,28.4,16.9,13.827
2016-06-24,29.4,18.0,14.773
2016-06-25,30.5,17.8,14.535
2016-06-26,29.1,19.0,15.744
2016-06-27,27.4,20.9,17.813
2016-06-28,25.4,21.7,18.834
