date,temp_c,dewpoint_c,abs_humidity_g_m3,month
2016-01-01,7.1,-0.9,4.426165125096253,1
2016-01-02,4.7,-4.0,3.5486659287256757,1
2016-01-03,5.3,-2.8,3.87280469753244,1
2016-01-04,3.1,-5.1,3.2852874674957504,1
2016-01-05,0.3,-9.0,2.4583314791492366,1
2016-01-06,1.1,-6.9,2.8846832361175414,1
2016-01-07,7.4,1.6,5.2981877886544595,1
2016-01-08,9.4,8.5,8.507297623441977,1
2016-01-09,8.5,8.3,8.419522803607695,1
2016-01-10,5.4,0.9,5.074560610872215,1
2016-01-11,-0.3,-9.3,2.406506843558395,1
2016-01-12,2.4,-5.4,3.2195811550652187,1
2016-01-13,2.6,-4.8,3.3667524900499997,1
2016-01-14,4.8,-0.9,4.462791064249775,1
2016-01-15,6.2,4.1,6.3528238512234365,1
2016-01-16,9.2,5.8,7.076048217269885,1
2016-01-17,4.3,-2.4,4.003757934245991,1
2016-01-18,-0.4,-9.9,2.2964290171126684,1
2016-01-19,-2.6,-13.3,1.7636963723415555,1
2016-01-20,0.6,-4.8,3.3913497685161187,1
2016-01-21,5.1,4.1,6.377938339044984,1
2016-01-22,3.9,3.6,6.184240506367215,1
2016-01-23,-1.3,-7.4,2.800205664925485,1
2016-01-24,0.7,-6.0,3.094998585709875,1
2016-01-25,3.5,-1.8,4.197217926366034,1
2016-01-26,8.9,5.3,6.842097741194985,1
2016-01-27,7.2,4.0,6.285874011198646,1
2016-01-28,7.5,1.4,5.220912929157561,1
2016-01-29,6.2,-0.7,4.505772359900225,1
2016-01-30,7.6,2.2,5.5263121090272636,1
2016-01-31,11.2,8.1,8.227065059944815,1
2016-02-01,14.1,12.4,10.855155534510988,2
2016-02-02,16.1,13.8,11.812844278987322,2
2016-02-03,15.9,14.0,11.975552811179238,2
2016-02-04,7.8,-1.3,4.287690049725759,2
2016-02-05,3.1,-8.2,2.590051092050246,2
2016-02-06,3.0,-5.0,3.3114412331327805,2
